"L" "TT" "TE" "EE" "BB" "PP"
"1" 2 1016.73 2.61753 0.0308827 1.81847e-06 5.01352e-08
"2" 3 963.727 2.93806 0.0396903 3.63743e-06 6.09943e-08
"3" 4 912.608 2.75866 0.0344962 6.06345e-06 7.02592e-08
"4" 5 874.477 2.35185 0.0230941 9.09717e-06 7.82921e-08
"5" 6 848.509 1.89605 0.0129512 1.27394e-05 8.5302e-08
"6" 7 832.082 1.49063 0.00700022 1.6991e-05 9.14734e-08
"7" 8 822.295 1.1794 0.00450136 2.18531e-05 9.69341e-08
"8" 9 817.803 0.967988 0.00360317 2.73268e-05 1.01794e-07
"9" 10 817.174 0.848454 0.00307459 3.34135e-05 1.06122e-07
"10" 11 819.034 0.803426 0.00259588 4.01146e-05 1.10013e-07
"11" 12 824.031 0.813834 0.00239725 4.74315e-05 1.13488e-07
"12" 13 830.534 0.856342 0.00219551 5.53659e-05 1.16594e-07
"13" 14 837.657 0.908861 0.00224915 6.39195e-05 1.19385e-07
"14" 15 845.805 0.966082 0.00247194 7.3094e-05 1.21889e-07
"15" 16 855.503 1.02738 0.00270996 8.28911e-05 1.24134e-07
"16" 17 866.739 1.09094 0.00310371 9.33126e-05 1.26148e-07
"17" 18 878.618 1.15646 0.00365104 0.00010436 1.27957e-07
"18" 19 891.98 1.22429 0.00433324 0.000116036 1.2957e-07
"19" 20 905.157 1.2925 0.00517714 0.000128342 1.30999e-07
"20" 21 918.522 1.36387 0.00614096 0.00014128 1.32265e-07
"21" 22 932.375 1.43983 0.00725038 0.000154851 1.33388e-07
"22" 23 946.547 1.51674 0.00850999 0.000169057 1.34378e-07
"23" 24 961.111 1.59011 0.00989105 0.0001839 1.35241e-07
"24" 25 976.023 1.65731 0.0114237 0.000199382 1.35989e-07
"25" 26 991.108 1.71779 0.0131094 0.000215503 1.36633e-07
"26" 27 1006.61 1.77051 0.0149408 0.000232266 1.37183e-07
"27" 28 1022.37 1.81559 0.0169367 0.000249671 1.37644e-07
"28" 29 1038.44 1.85322 0.0191146 0.000267721 1.38017e-07
"29" 30 1054.73 1.88275 0.0214985 0.000286415 1.38304e-07
"30" 31 1071.09 1.90662 0.0240995 0.000305755 1.38515e-07
"31" 32 1087.79 1.92669 0.0269117 0.000325742 1.38662e-07
"32" 33 1104.83 1.93976 0.0299214 0.000346376 1.38749e-07
"33" 34 1122.05 1.94298 0.0331298 0.000367658 1.38778e-07
"34" 35 1139.41 1.93698 0.0365573 0.000389589 1.38754e-07
"35" 36 1156.83 1.92196 0.0402326 0.000412168 1.3868e-07
"36" 37 1174.34 1.89667 0.0441647 0.000435396 1.3856e-07
"37" 38 1192.25 1.86162 0.0483598 0.000459273 1.38398e-07
"38" 39 1210.55 1.81685 0.0528042 0.000483799 1.38195e-07
"39" 40 1228.96 1.76206 0.0574848 0.000508973 1.37954e-07
"40" 41 1247.6 1.69666 0.0623984 0.000534795 1.37676e-07
"41" 42 1266.24 1.61977 0.067562 0.000561265 1.37364e-07
"42" 43 1285.02 1.5304 0.0729972 0.000588382 1.37021e-07
"43" 44 1303.78 1.42851 0.0787109 0.000616146 1.36648e-07
"44" 45 1322.9 1.31408 0.0847203 0.000644555 1.36248e-07
"45" 46 1342.3 1.18531 0.0910401 0.00067361 1.35824e-07
"46" 47 1361.82 1.04307 0.0976619 0.000703308 1.35377e-07
"47" 48 1381.41 0.891528 0.104578 0.000733649 1.34909e-07
"48" 49 1401.15 0.734279 0.111759 0.000764633 1.34422e-07
"49" 50 1421.27 0.568123 0.119168 0.000796258 1.33916e-07
"50" 51 1441.55 0.388462 0.126768 0.000828523 1.33394e-07
"51" 52 1462.22 0.190711 0.134647 0.000861427 1.32857e-07
"52" 53 1482.88 -0.0278557 0.14296 0.000894969 1.32305e-07
"53" 54 1503.46 -0.261999 0.151708 0.000929149 1.3174e-07
"54" 55 1524.19 -0.506363 0.160873 0.000963965 1.31163e-07
"55" 56 1545.27 -0.761936 0.170319 0.000999416 1.30574e-07
"56" 57 1566.64 -1.02878 0.179933 0.0010355 1.29975e-07
"57" 58 1588.31 -1.30796 0.18972 0.00107222 1.29366e-07
"58" 59 1610.13 -1.60056 0.199714 0.00110958 1.28746e-07
"59" 60 1632.12 -1.90622 0.209964 0.00114756 1.28118e-07
"60" 61 1654.58 -2.22438 0.220558 0.00118618 1.27482e-07
