"","x"
"1",9.67008563624898e-09
"2",1.60614291695435e-09
"3",9.27393782307357e-10
"4",7.02303454959098e-10
"5",5.49047109111083e-10
"6",3.67978800078061e-10
"7",2.86235371472049e-10
"8",1.96321922904432e-10
"9",6.53326574797426e-11
"10",-5.18370216631327e-11
"11",-9.48735037788038e-11
"12",-4.65849138619525e-11
"13",-2.03856503203675e-11
"14",3.2430542834997e-11
"15",4.92960151375741e-11
"16",-1.62021939384162e-10
"17",-3.38961746953379e-10
"18",-9.546908585358e-11
"19",4.94157582876309e-10
"20",5.081943372235e-10
"21",2.86573645407996e-09
